# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
"Grumpy" Norton	"덜렁이" 노턴
"Legalbrow"	"리걸브로우"
"Plucky" Johnson	"씩씩이" 존슨
"Plucky" Johnson's Human Form	"씩씩이" 존슨 인간모습
"Pretty Boy" Duncan	"꽃미남" 던컨
"Sea Wolf" MacKinley	"바다늑대" 맥킨리
"Shaky" Phillipe	겁쟁이 필립
"Squealer" Thornmantle	불평쟁이 가시목도리
"Stinky" Ignatz	"말썽꾼" 이그나츠
"Swamp Eye" Jarl	"늪지눈알" 자를
'Ale Saint' Grida	"에일의 성자" 그리다
'Broody'	"알품이"
'Buttercup' X01 Prototype	"미나리아재비" X01 프로토타입
'Charming' Rudair	"매력적인" 루데어
'Chaser'	"추적자"
'Moonshine' Marty	'문샤인' 마티
'Nugget' D01 Battle Chicken	"금괴" D01 전투닭
'Quaking' Kevin	'떨리는' 케빈
'Slim'	'아주 적은'
'Slip'	"슬립"
'Sly' Duncan	'슬라이' 던컨
'Stickypaws'	'스티키파우스'
'Sugarcoat' X00 Prototype	"감싸기" X00 프로토타입
'Water Rat' Jorgy	'물쥐' 조르지
'Wincing' Willy	"머뭇거리는" 윌리
<TXT>Crown Guard Capture Quest Doodad	산마루 경비탑 점령 퀘스트
<TXT>Eastwall Capture Quest Doodad	동부방벽 경비탑 점령 퀘스트
<TXT>Northpass Capture Quest Doodad	북부관문 경비탑 점령 퀘스트
<TXT>Plaguewood Capture Quest Doodad	역병숲 점령 퀘스트
[Deprecated] Bebri Coifcurl	베브리 코이프컬
[Test] Custom spell cast	[테스트] 사용자 지정 주문 시전
[UNUSED] Drayl	[UNUSED] 드레일
[UNUSED] Durdek Karrin	두르덱 카린
[UNUSED] Henria Derth	헨리아 데르스
[UNUSED] Hurom Juggendolf	후롬 주겐돌프
[UNUSED] Marlon Darnik	말론 달니크
[UNUSED] Xur'gyl	[UNUSED] 수르질
A tormented voice	고통스러운 목소리
A-Me 01	에이미 01
Aaron	아론
Aayndia Floralwind	아얀디아 플로럴윈드
Abe Winters	아베 윈터스
Abercrombie	에이버크롬비
Abiding Crypt Keeper	아비디응 크립트 수호자
Abigail Sawyer	아비게일 소우어
Abigail Shiel	애비게일 시엘
Aboda	아보다
Abominable Snow Yeti	지독한 눈 예티
Abomination	누더기골렘
Abyssal Construct	심연 피조물
Abyssal Oracle	심연 예언자
Abyssal Tidehunter	심연 파도사냥꾼
Abysstide Siren	심연파도 세이렌
Accursed Slitherblade	저주받은 뱀갈퀴 나가
Achaikos	아차이코스
Achellios the Banished	추방자 아킬리오스
Acidic Swamp Ooze	산성 늪수액괴물
Acolyte Dellis	수행사제 델리스
Acolyte Fenrick	수행사제 펜릭
Acolyte Magaz	수행사제 마가즈
Acolyte Porena	수행사제 포리나
Acolyte Wytula	수행사제 위툴라
Acrid Razormaw	악릳 라졸므오
Adaena Oakleaf	아다에나 오크리프
Adair Gilroy	어데어 길로이
Adam	아담
Adam Bonlay	아담 본레이
Adam Lind	아담 린드
Adder	살모사
Addled Leper	정신이상의 오염된 노움
Adele Fielder	아델레 필더
Adella Gillian	아델라 길리안
Adherent of Mothshroud	모스시르아우드의 앋헤렌트
Adjutant Scheer	부관 셰어
Adjutant Tesoran	부관 테소렌
Adlin Pridedrift	아들린 프라이드드리프트
Admiral Barean Westwind	제독 바레안 웨스트윈드
Admiral Grumbleshell	제독 그룸브레시엘르
Adolescent Whelp	작은 새끼용
Adon	아돈
Adrian Bartlett	애드리안 바틀릿
Adult Plainstrider	다자란 초원타조
Advanced Target Dummy	고급 표적 허수아비
Advisor Belgrum	조언자 벨그룸
Advisor Ranagg	고문 라낙그
Advisor Willington	고문 윌링턴
Aean Swiftriver	이안 스위프트리버
Aedis Brom	애디스 브롬
Aelennia Starbloom	아에렌니아 스탈브르우므
Aelienne Summerbreeze	에일리엔느 섬머브리즈
Aelira Dawnhand	에일라 던핸드
Aeltalor Flameshard	엘탈로르 불꽃 조각
Aelthalyste	애살리스테
Aendel Windspear	앤델 윈드스피어
Aeolynn	애올린
Aerdri	에어드리
Aerie Gryphon	맹금의 그리핀
Aerla Goldenmoon	에어라 골든문
Aerthand Skyshield	아에르탄드 스카이쉴드
Aerys Bell	아에리스 벨
Aethalas	애살라스
Affray Challenger	격투장 도전자
Affray Spectator	격투장 구경꾼
Ag'tor Bloodfist	아그토르 블러드피스트
Agal	아갈
Agam'ar	아가마르
Aganna Windhorn	아간나 바람뿔
Agathelos the Raging	흉포한 아가테로스
Aged Kodo	늙은 코도
Agent Cherys	요원 치에릿
Agent Deryl	요원 데릴
Agent Flynn	요원 프린느
Agent Kearnen	첩보원 켈넌
Ageron Kargal	아제론 카르갈
Agezrion	아게즈리온
Aggem Thorncurse	저주의가시 아겜
Aggi Rumblestomp	아기 럼블스톰프
Agitated Rock Elemental	동요된 바위 정령
Agnar Beasttamer	아그나르 비스테이머
Agne	아그네
Agnese Newbery	악네세 네으베리
Agonizing Remnants	아고니지응 렘난트스
Agustus Moulaine	아구스투스 물레인
Ahanu	아하누
Ahgk'tos the Pure	아흐그크톳 순수한
Ahn'Qiraj Trigger	안퀴라즈 트리거
Ahnja Summerwind	안자 서머윈드
Ainethil	에이네실
Air Spirit	바람의 정령
Aira Starsworn	에이라 스탈스올느
Airfield Engineer	비행장 엔지니어
AJ Springberry	AJ 스프링베리
Ajeck Rouack	아제크 루아크
Ak'Zeloth	아크젤로스
Akama	아카마
Akk'nariji, Taskmaster of the Swarm	무리의 작업반장 아크나리지
Akkrilus	아크릴루스
Aku'mai	아쿠마이
Aku'mai Fisher	아쿠마이거북
Aku'mai Servant	아쿠마이의 하수인
Aku'mai Snapjaw	무쇠턱 아쿠마이거북
Akubar the Seer	현자 아쿠바르
Al'Dorel	알도렐
Al'tabim the All-Seeing	천리안 알타빔
Aladrel Dewblade	아랃렐 데으브라데
Alaenas	알라에나스
Alah'Thalas Citizen	알라탈라스 시민
Alah'Thalas Magister	알라탈라스 마법학자
Alah'thalas Ranger	알라탈라스 순찰대원
Alah'Thalas Researcher	알라탈라스 연구원
Alah'Thalas Sentinel	알라탈라스 파수꾼
Alaindia	알라인디아
Alamar Grimm	알라마 그림
Alanna Raveneye	알란나 레이븐아이
Alanndarian Nightsong	알란다리안 나이트송
Alannys	알라니스
Alarm-a-bomb 2600	경보폭탄 2600
Alarm-o-Bot	노움 자동경보기
Alarus	알라루스
Alassin	알랏신
Alastair Murray	아랏트에이르 물르에이
Alaya Dawnrose	알라야 던로즈
Albert Russell	알벨트 룻셀르
Albino Dragonspawn	알비노 용혈족
Albino Drake	알비노 비룡
Albino Riding Crocolisk	백색 탑승용 악어
Albino Snake	눈서리뱀
Albino Snapjaw	알비노 무쇠턱거북
Alchemist Arbington	연금술사 알빙턴
Alchemist Mallory	연금술사 말로리
Alchemist Narett	연금술사 나레트
Alchemist Pestlezugg	연금술사 페슬저그
Aldein Smoothgore	알데인 스무스고어
Aldia	알디아
Aldren Cordon	알드렌 코든
Aldric Moore	알드릭 무어
Aldris Fourclouds	알드리스 포클라우즈
Aldwin Laughlin	앨드윈 래프린
Alegorn	알레고른
Alenndaar Lapidaar	알렌다르 라피다르
Alessa Farwind	아렛사 파윈드
Alessandro Luca	알렉산드로 루카
Alexander Calder	알렉산더 칼더
Alexandra	알렉산드라
Alexandra Blazen	알렉산드라 블레이젠
Alexandra Bolero	알렉산드라 볼레로
Alexandra Constantine	알렉산드라 콘스탄틴
Alexandre Lefevre	알렉상드르 레페브르
Alexi Barov	알렉시 바로브
Alexia Ironknife	알렉시아 아이언나이프
Alfin Grahan	알핀 그라한
Alfog Bravebrew	알폭 브라벱레으
Algernon	알게르논
Aliattan Anderson	알리아탄 앤더슨
Alice	앨리스
Alicia Maxime	알리시아 막심
Aligar the Tormentor	원한의 알리가르
Alika Ripfrost	알리카 립프로스트
Alina	앨리나
Alinerenah Sunsparrow	알리네레나 선스패로우
Alisaiah Sunblade	알리사이아 선블레이드
Alison Swift	아리손 날쌘
Alix Gres	알릭스 그레스
Allan Hafgan	앨런 하프간
Alleana Moonfeather	알리아나 문페더
Alliance Battle Standard	얼라이언스 전투 깃발
Alliance Brigadier General	얼라이언스 준장
Alliance Lion Cub	얼라이언스 사자 새끼
Alliance Sentinel	얼라이언스 파수꾼
Alliance Silithyst Sentinel	얼라이언스 실리시스트 파수병
Alliance Spirit Battle Healer	얼라이언스 정신력 전투 흐이렐
Alliance Spirit Guide	얼라이언스 영혼의 인도자
Alliance Tower Buffer	얼라이언스 경비탑 강화 효과
Allyndia	알린디아
Alma Jainrose	알마 제인로즈
Almaudrak	알모드락
Alormion	알로르미온
Alowicious Czervik	알로위셔스 체르빅
Alpha	알파
Alshirr Banebreath	맹독숨결 알쉬르
Alterac Ram	알터랙 산양
Alterac Valley Battlemaster	알터랙 계곡 전투모병관
Alterac Yeti	알터랙 설인
Altsoba Ragetotem	알트소바 레이지토템
Aluntir	알룬티르
Alurmi	알루르미
Alurzion	아룰지온
Alvida	알비다
Alyissia	알리시아
Alyssa Blaye	알리사 블레예
Alyssa Eva	알리사 에바
Alyssa Griffith	알리사 그리피스
Alyssa Stormbolt	알리사 스톰볼트
Alyssia Solar	알리시아 솔라
Alzinn Trigger	알진 트리거
Alzzin the Wildshaper	칼날바람 알진
Alzzin's Minion	알진의 하인
Amaldea Clotilde	아말드이 크로틸데
Aman	아만
Amanaria Sunblade	아마나리아 선블레이드
Amani Eagle	아마니 이글
Amani'Alor Settler	아마니알로르 정착민
Amara Highbreeze	아마라 하이브리즈
Amathion Seawhisper	아마스이온 스이우잇펠
Ambassador Ardalan	대사 알달란
Ambassador Arenia Boughshadow	대사 아레니아 바우섀도
Ambassador Berrybuck	대사 베리벅
Ambassador Bloodrage	사절 블러드레이지
Ambassador Eka'ghar	암밧사돌 에카그알
Ambassador Flamelash	사자 화염채찍
Ambassador Gessendar	대사 게센다르
Ambassador Infernus	사자 인페르누스
Ambassador Krok	크록 대사
Ambassador Malcin	사절 말킨
Ambassador Rotog	로토그 대사
Ambassador Vortalus	암밧사돌 볼타룻
Amber	엠버
Ambereye Basilisk	호박눈 바실리스크
Ambereye Reaver	갈퀴발톱 호박눈 바실리스크
Amberfin Lakestalker	암벨핀 라켓탈켈
Amberfin Murloc	암벨핀 멀록
Amberfin Tidecaller	암벨핀 파도소환사
Amberleaf Dryad	암벨르이프 드리아드
Amberpaw Alpha	호박발 우두머리
Amberpaw Gnoll	호박발 놀
Amberpaw Scout	호박발 정찰병
Amberpaw Shaman	호박발 주술사
Ambershard Crusher	분쇄의 호박석정령
Ambershard Destroyer	파괴의 호박석정령
Amberwood Trainee	앰버우드 트르에이느이
Amelanoh Dawnstar	아멜라노 던스타
Amelia Hawkes	아멜리아 호크스
Amie Pierce	에이미 피어스
Ammi Summerpelt	암미 숨멜펠트
Amnennar the Coldbringer	혹한의 암네나르
Amplified Arcane Monstrosity	암프립이드 비전 몬스트로시티
Amri Demondeal	암리 데몬딜
Amro	암로
Amy Davenport	에이미 데이븐포트
Amy Maciulewicz	에이미 마시울레비츠
Amycus Seaworth	아미쿠스 시워스
An Unknown Entity	미지의 존재
Ana'thek the Cruel	학살자 아나텍
Anachronos	아나크로노스
Anachronos Dragon Form	아나크로노스 용 변신
Anachronos Quest Trigger Invisible	아나크로노스 퀘스트 트리거
Anachronos the Ancient	고대의 아나크로노스
Anadyia	아나디야
Analyzer X-48	분석기 X-48
Analyzer X-51	분석기 X-51
Analyzor 53G	애널라이저 53G
Anara	아나라
Anarea Sundawn	아나레아 선던
Anashya Starshard	아나시이아 스탈시알드
Anastasia Hartwell	아나스타샤 하트웰
Anathemus	아나테무스
Anathera	아나테라
Anati Gapper	아나티 게퍼
Anaya	아나야
Anaya Dawnrunner	아나야 돈러너
Ancestor of Humility	겸손의 조상
Ancestor of Virtue	덕의 조상
Ancestor of Wisdom	지혜의 조상
Ancestral Spirit	고대의 영혼
Ancient Core Hound	고대의 심장부 사냥개
Ancient Equine Spirit	고대 준마의 영혼
Ancient Guardian	고대 수호자
